net,length_um
_02_,58.68
net5,53.22
net2,51.76
net1,48.24
net7,46.26
net3,37.64
net6,37.05
net12,35.94
net4,33.88
_06_,32.34
_04_,32.12
net13,25.84
_08_,25.8
net11,24.76
_03_,22.62
net10,17.14
_09_,15.18
_00_,13.76
SW[7],12.79
net14,12.18
net15,12.04
LED[0],11.89
net8,11.58
SW[0],11.07
LED[7],10.61
_05_,7.56
LED[6],7.15
net16,7.1
_07_,6.94
SW[1],6.33
SW[5],6.31
SW[3],5.97
LED[3],5.29
LED[5],5.29
SW[4],4.95
SW[2],4.61
SW[6],4.61
LED[1],3.93
LED[2],3.93
LED[4],3.93
net9,3.9
_01_,3.68
